Handle,Title,Body (HTML),Vendor,Standardized Product Type,Custom Product Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
mango-moussache-500g,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0246/4035/6429/products/44f24f2f-0541-4c82-83dd-79985031f755_f1dda284-9b6f-4281-a0b2-7912284db47f.png?v=1644874463,3,,,,,,,,,,,,,,,,,,,,,,
citronnelle-bio-150g,Citronnelle bio 150g,"<meta charset=""utf-8""><meta charset=""utf-8"">
<div dir=""auto"">
<meta charset=""utf-8"">
<span>Les propriétés médicinales de la citronnelle ne sont plus à prouver. Quelle soit utilisée en cuisine, pour son goût citronné ou en infusion son arôme se laisse apprécier.</span>
</div>",Alexandre Terne,,Plante,"Bio, Catégorie_Plantes, Plante",true,Poids,Botte de 150g environ,,,,,"",0.0,shopify,999,deny,manual,2.40,,false,false,"",https://cdn.shopify.com/s/files/1/0246/4035/6429/products/Citronnelle.jpg?v=1644778675,1,,false,,,,,,,,,,,,,,,,,kg,,1.50,active
gros-thym-100g-bio,Gros thym 100g bio,"",Alexandre Terne,,Frais,"Alexandre Terne, Bio, Plante aromatique, Producteurs_Alexandre Terne",true,Poids,Bouquet de 100g,,,,,"",0.0,shopify,2,deny,manual,3.20,,false,false,"",https://cdn.shopify.com/s/files/1/0246/4035/6429/products/Grosthym.jpg?v=1644777890,1,,false,,,,,,,,,,,,,,,,,kg,,2.00,active
aubergine-ronde-orange-bio-500g,Aubergine ronde orange bio 500g,"Ce légume riche en fibres et en vitamines est différent de la pomme de terre par son goût sucré, même si les techniques de préparations restent similaires. Rissolée ou au four elle saura ravir les plus grands appétits et pour les plus gourmets je conseils le muffin.",Le Potager des Mornes,,légume,"bio, Catégorie_Légumes, Légume",false,Poids,500g,,,,,,0.0,shopify,6,deny,manual,2.30,,false,false,,https://cdn.shopify.com/s/files/1/0246/4035/6429/products/image_e9b5bfe2-b296-4763-9ada-3a64fcf217c1.jpg?v=1644272557,1,,false,,,,,,,,,,,,,,,,,kg,,1.50,active
pack-special-saint-valentin-avec-huile-de-massage,Pack Spécial Saint-Valentin avec surprise !,"<p>Contient :</p>
<p>1 bouquet d'anthurium</p>
<p>1 pétillant d'ananas K'Shiri (avec alcool)</p>
<p>1 huile de massage au gingembre</p>",Ta Nou,,paniers,"",false,Poids,1 pack,,,,,,0.0,shopify,4,deny,manual,49.90,,false,false,,https://cdn.shopify.com/s/files/1/0246/4035/6429/products/PackSaint-ValentinXXL.jpg?v=1643979867,1,,false,,,,,,,,,,,,,,,,,kg,,25.20,active
pack-special-saint-valentin,Pack Spécial Saint-Valentin !,"<p>Contient :</p>
<p>1 bouquet d'anthurium</p>
<p>1 pétillant d'ananas K'Shiri (avec alcool)</p>",Ta Nou,,paniers,"",false,Poids,1 pack,,,,,"",0.0,shopify,5,deny,manual,36.90,,false,false,"",https://cdn.shopify.com/s/files/1/0246/4035/6429/products/PackSaint-Valentin.jpg?v=1643979294,1,,false,,,,,,,,,,,,,,,,,kg,,25.20,active
nouveaute-herbage-pour-soupe,[NOUVEAUTE] Herbage (pour soupe),"",Ferme du Lycée Agricole de Croix-Rivail,,légume,"Bio, Catégorie_Légumes, Légume",true,Poids,1 botte,,,,,,0.0,shopify,100,deny,manual,3.90,,false,false,,https://cdn.shopify.com/s/files/1/0246/4035/6429/products/HerbageLEGTA.jpg?v=1643760201,1,,false,,,,,,,,,,,,,,,,,kg,,2.50,active
radis-1-botte-bio,Radis 1 botte bio,"<meta charset=""utf-8""><span>Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat.</span>",Thierry Jean,,,"Bio, Catégorie_Légumes, Légume",true,Poids,1 botte,,,,,"",0.0,shopify,100,deny,manual,3.10,,false,false,"",https://cdn.shopify.com/s/files/1/0246/4035/6429/products/radis-livraison-panier-sur-mesure-fruits-legumes-plantes-medicinales-aromatiques-martinique_ada3e151-39fa-4a4e-8b03-87f52ce57ab3.jpg?v=1643758406,1,,false,,,,,,,,,,,,,,,,,kg,,2.00,active
radis-1-botte-bio,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0246/4035/6429/products/radis-background-livraison-panier-sur-mesure-fruits-legumes-plantes-medicinales-aromatiques-martinique_b44cf78a-9a02-4357-9962-f1149f9b50e2.jpg?v=1643758407,2,Radis bio Background,,,,,,,,,,,,,,,,,,,,,
coriandre-40g-bio,[NOUVEAUTE] Coriandre 40g bio,"",Boulikibio,,Plante,"Bio, Bouliki, Catégorie_Plantes, épinard",true,Bouquet,1 bouquet,,,,,,0.0,shopify,100,deny,manual,3.90,,false,false,,https://cdn.shopify.com/s/files/1/0246/4035/6429/products/IMG_3273.jpg?v=1643656920,1,,false,,,,,,,,,,,,,,,,,kg,,2.50,active
banane-jaune-ou-plantain-demi-verte-1kg-1,Banane kankanbou demi-verte 1kg,"",Les Jardiniers du Nord,,fruit,"Bio, Catégorie_Fruits, Fruit",true,Poids,1kg,,,,,"",0.0,shopify,883,deny,manual,3.90,,false,false,"",https://cdn.shopify.com/s/files/1/0246/4035/6429/products/a821e905-1b92-400c-a484-19bd532b68f7_9e74096e-c76d-42b3-9819-17e0b6b3d740_1.jpg?v=1644363061,1,,false,,,,,,,,,,,,,,,,,kg,,2.60,active
nouveaute-kombucha-curcuma-bio-1l,[NOUVEAUTE !] Kombucha curcuma bio 1L,Boisson pétillante bio à base de thé et de plantes traditionnelles de Martinique,Thierry Jean,,Plante,"Bio, Catégorie_Plantes, Plante, Producteurs_Thierry Jean, st joseph, Thierry jean",true,Poids,1L,,,,,,0.0,shopify,2,deny,manual,13.50,,false,false,,https://cdn.shopify.com/s/files/1/0246/4035/6429/products/image_82df103a-7d3c-412e-a238-041cf16f7d4e.jpg?v=1643638330,1,,false,,,,,,,,,,,,,,,,,kg,,9.00,active
nouveaute-kombucha-brisee-bio-1l-1,[NOUVEAUTE !] Kombucha menthe hollywood bio 1L,Boisson pétillante bio à base de thé et de plantes traditionnelles de Martinique,Thierry Jean,,Plante,"Bio, Catégorie_Plantes, Plante, Producteurs_Thierry Jean, st joseph, Thierry jean",true,Poids,1L,,,,,,0.0,shopify,4,deny,manual,13.50,,false,false,,https://cdn.shopify.com/s/files/1/0246/4035/6429/products/image_d3292f5a-6171-42b8-b3d3-c425fa09f442.jpg?v=1643638285,1,,false,,,,,,,,,,,,,,,,,kg,,9.00,active
nouveaute-kombucha-brisee-bio-1l,[NOUVEAUTE !] Kombucha brisée bio 1L,Boisson pétillante bio à base de thé et de plantes traditionnelles de Martinique,Thierry Jean,,Plante,"Bio, Catégorie_Plantes, Plante, Producteurs_Thierry Jean, st joseph, Thierry jean",true,Poids,1L,,,,,,0.0,shopify,0,deny,manual,13.50,,false,false,,https://cdn.shopify.com/s/files/1/0246/4035/6429/products/image_e9a47b1a-cff3-4713-8d90-b16197ec36e2.jpg?v=1643638228,1,,false,,,,,,,,,,,,,,,,,kg,,9.00,active
nouveaute-kombucha-basilic-citron-bio-1l,[NOUVEAUTE !] Kombucha basilic citron bio 1L,Boisson pétillante bio à base de thé et de plantes traditionnelles de Martinique,Thierry Jean,,Plante,"Bio, Catégorie_Plantes, Plante, Producteurs_Thierry Jean, st joseph, Thierry jean",false,Poids,1L,,,,,,0.0,shopify,3,deny,manual,13.50,,false,false,,https://cdn.shopify.com/s/files/1/0246/4035/6429/products/image_b15d2b50-bff2-4f5c-993a-430dddbee750.jpg?v=1643638145,1,,false,,,,,,,,,,,,,,,,,kg,,9.00,active
nouveaute-kombucha-groseille-bio-1l,[NOUVEAUTE !] Kombucha groseille bio 1L,Boisson pétillante bio à base de thé et de plantes traditionnelles de Martinique,Thierry Jean,,Plante,"Bio, Catégorie_Plantes, Plante, Producteurs_Thierry Jean, st joseph, Thierry jean",true,Poids,1L,,,,,,0.0,shopify,0,deny,manual,13.50,,false,false,,https://cdn.shopify.com/s/files/1/0246/4035/6429/products/image_bbf7d5d3-b68f-4489-ba71-3a7b550524e3.jpg?v=1643638028,1,,false,,,,,,,,,,,,,,,,,kg,,9.00,active
nouveaute-kombucha-cannelle-bio-1l,[NOUVEAUTE !] Kombucha cannelle bio 1L,Boisson pétillante bio à base de thé et de plantes traditionnelles de Martinique,Thierry Jean,,Plante,"Bio, Catégorie_Plantes, Plante, Producteurs_Thierry Jean, st joseph, Thierry jean",false,Poids,1L,,,,,,0.0,shopify,1,deny,manual,13.50,,false,false,,https://cdn.shopify.com/s/files/1/0246/4035/6429/products/image_2f15625e-7c50-4e80-8096-c1395a96ba04.jpg?v=1643637951,1,,false,,,,,,,,,,,,,,,,,kg,,9.00,active
coco-bio-1-piece,Coco bio 1 pièce,"<p>Le fruit du cocotier, avant maturité, est chargé d'une eau savoureuse, sucrée, très riche en minéraux comme le potassium et le phosphore.</p>
<p>Boire 1 coco par jour suffit à combler les besoins en potassium d'un adulte.</p>",Alexandre Terne,,Frais,Thème fruit,false,quantité,pièce,,,,,,0.0,shopify,947,deny,manual,1.90,,false,false,,https://cdn.shopify.com/s/files/1/0246/4035/6429/products/cocovert_59507a90-42bc-473b-b2a3-22a2b9225143.jpg?v=1643293415,1,,false,,,,,,,,,,,,,,,,,kg,,1.20,active
oignon-peyi-bio-200g,Oignon péyi bio 200g,Oignon pays ou ciboule.,Thierry Jean,,Frais,Panier semaine,true,Poids,200g,,,,,,0.0,shopify,505,deny,manual,2.60,,false,false,,https://cdn.shopify.com/s/files/1/0246/4035/6429/products/ciboule_bab05f93-fc33-4f3c-8670-174b3a7b4cb0.jpg?v=1643287885,1,,false,,,,,,,,,,,,,,,,,kg,,1.60,active
papaye-demi-mure-1kg-3,Papaye demi mûre 1kg,"",Les Jardiniers du Nord,,fruit,"Bio, Catégorie_Fruits, Fruit",false,Poids,1kg,,,,,"",0.0,shopify,987,deny,manual,3.20,,false,false,"",https://cdn.shopify.com/s/files/1/0246/4035/6429/products/image_ba15b8ae-e345-44f2-992f-a18ad580828e.png?v=1643211903,1,,false,,,,,,,,,,,,,,,,,kg,,2.10,active
papaye-demi-mure-1kg-3,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0246/4035/6429/products/papayemure_47286419-3d8b-46c7-b78a-670088bb51aa.jpg?v=1643211903,2,,,,,,,,,,,,,,,,,,,,,,
nouveaute-bouquet-garni-oignon-persil-thym,"[NOUVEAUTE] Bouquet garni (oignon, persil, thym)","",Ferme du Lycée Agricole de Croix-Rivail,,légume,"Bio, Catégorie_Légumes, Légume",true,Poids,1 botte,,,,,"",0.0,shopify,937,deny,manual,3.90,,false,false,"",https://cdn.shopify.com/s/files/1/0246/4035/6429/products/BouquetgarniLEGTA.jpg?v=1643205066,1,,false,,,,,,,,,,,,,,,,,kg,,2.50,active
laitue-feuille-de-chene-verte,Laitue feuille de chêne verte,"",Ferme du Lycée Agricole de Croix-Rivail,,légume,"Bio, Catégorie_Légumes, christophine, Légume",true,Poids,1 à 2 têtes,,,,,"",0.0,shopify,926,deny,manual,2.90,,false,false,"",https://cdn.shopify.com/s/files/1/0246/4035/6429/products/IMG_1651_1_b2d13fdd-65bb-4810-88fe-e5ea4b875249.jpg?v=1643205204,1,,false,,,,,,,,,,,,,,,,,kg,,2.00,active
christophine-bio-1kg-1,Christophine bio 1kg,"Ce légume était déjà cultivé par les aztèques. Composé à 90% d'eau, il renferme de la vitamine C, soigne les brûlures et facilite la digestion. Consommé cru, cuit, gratiné ou farci il accompagne volontier de la viande ou du poisson.",Félix pognon,,légume,"Bio, Catégorie_Légumes, christophine, Légume",true,Poids,1kg,,,,,"",0.0,shopify,0,deny,manual,3.80,,false,false,"",https://cdn.shopify.com/s/files/1/0246/4035/6429/products/450447-christophines_b6d44e09-d1e3-4a05-b6a3-ca7e107de216.jpg?v=1643056346,1,,false,,,,,,,,,,,,,,,,,kg,,2.50,active
christophine-bio-1kg-1,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0246/4035/6429/products/Christophine-bio-Martinique-Robert-Felix-Pognon-AgroEcologie-Agriculture-bio-Tanou-Ta-nou-livraison-paniers-bio-martinique_d3ba4657-b59d-40bf-933d-46f06424da29.jpg?v=1643056346,2,,,,,,,,,,,,,,,,,,,,,,
christophine-bio-1kg-1,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0246/4035/6429/products/BG-Christophine-bio-Martinique-Robert-Felix-Pognon-AgroEcologie-Agriculture-bio-Tanou-Ta-nou-livraison-paniers-bio-martinique_521b37ce-9bd4-4adf-b3f6-386441bc9eec.jpg?v=1643056346,3,Christophine bio 1kg Background,,,,,,,,,,,,,,,,,,,,,
dachine-bariolee-bio-1kg,Dachine bariolée bio 1kg,"",CV’BIO,,légume,"",false,Title,Default Title,,,,,"",0.0,shopify,1,deny,manual,5.90,,false,false,"",https://cdn.shopify.com/s/files/1/0246/4035/6429/products/image_55f7ae5d-7194-4273-97cb-6aff046b9820.jpg?v=1642601634,1,,false,,,,,,,,,,,,,,,,,kg,,4.00,active
dachine-blanche-bio-1kg,Dachine blanche bio 1kg,"",CV’BIO,,légume,"",false,Title,Default Title,,,,,"",0.0,shopify,1,deny,manual,5.90,,false,false,"",https://cdn.shopify.com/s/files/1/0246/4035/6429/products/image_083b89b5-f4e9-4d93-865c-9667f44a04a5.jpg?v=1642601567,1,,false,,,,,,,,,,,,,,,,,kg,,4.00,active
panier-bio-1,Panyé bio - abonnement,"WARNING: This product is for Recharge Subscriptions use  only, do not publish or delete this product. Customers will not see this message.",Ta Nou,,,Subscription,false,Panier,1 panier (4~7 références),,,,,,0.0,,0,continue,manual,30.00,,false,false,,https://cdn.shopify.com/s/files/1/0246/4035/6429/products/Panier-1-decouverte-bio-Martinique-Ecologie-agroecologie-agriculture-bio_1bc00369-fdd9-4d4d-b76c-cb99e8702705.jpg?v=1642568848,1,,false,,,,,,,,,,,,,,,,,kg,,,active
panier-bio-1,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0246/4035/6429/products/BG-Panier-1-decouverte-bio-Martinique-Ecologie-agroecologie-agriculture-bio_e8328ca1-0d8d-45ef-b257-15a7e2d15266.jpg?v=1642568849,2,,,,,,,,,,,,,,,,,,,,,,
gros-panier-bio-1,Gwo panié bio - abonnement,"WARNING: This product is for Recharge Subscriptions use  only, do not publish or delete this product. Customers will not see this message.",Ta Nou,,,Subscription,false,Panier,1 panier (10~15 références),,,,,"",0.0,,0,continue,manual,50.00,,false,false,,https://cdn.shopify.com/s/files/1/0246/4035/6429/products/61d4d67f-2003-40bf-830d-5dd0296d0123_345d875a-5f0f-4d77-bef0-8d9bbd51a674.jpg?v=1643755076,1,,false,,,,,,,,,,,,,,,,,kg,,,active
petit-panier-bio-1,Ti panyé bio - abonnement,"WARNING: This product is for Recharge Subscriptions use  only, do not publish or delete this product. Customers will not see this message.",Ta Nou,,,Subscription,false,Panier,1 panier (4~7 références),,,,,"",0.0,,0,continue,manual,15.00,,false,false,,https://cdn.shopify.com/s/files/1/0246/4035/6429/products/b1e85f44-e908-417c-87a1-d7a3a5ff1eaf_0791dd07-fb3c-40a7-b8f3-d1a4ca61a8f0.jpg?v=1643755133,1,,false,,,,,,,,,,,,,,,,,kg,,,active
frais-de-livraison-1,Frais de livraison Auto - abonnement,"WARNING: This product is for Recharge Subscriptions use  only, do not publish or delete this product. Customers will not see this message.",Ta Nou,,,Subscription,false,Quantité,Frais de livraison,,,,,"",1000.0,,0,continue,manual,7.00,,true,false,,https://cdn.shopify.com/s/files/1/0246/4035/6429/products/delivery-truck_e1931ad2-f2ed-44b2-9cff-5adcf9ee1719.png?v=1642568846,1,,false,,,,,,,,,,,,,,,,,kg,,,active
panier-bio,Panyé bio,"<p> Faites frétiller vos papilles, avec notre panier bio de la semaine !</p>
<p>Il est le reflet de la saison, mais aussi de conditions naturelles parfois exceptionnelles. Ponctuellement, la disponibilité de certains produits annoncés peut donc varier ; ils seront remplacés par un produit similaire.</p>
<p>Panier bio de la semaine du 7 mars : </p>
<ul>
<li>Banane dessert 1kg</li>
<li>Mango zéphirine 500g</li>
<li>Aubergine 500g</li>
<li>Chou pommé 1kg</li>
<li>Patate douce 500g</li>
<li>Laitue feuille de chêne 1 tête</li>
<li>Igname Sassa 1kg</li>
<li>Giraumon 1kg</li>
<li>Piment végétarien 200g</li>
<li>Orange sûre 500g</li>
</ul>
<style type=""text/css"" data-mce-fragment=""1""><!--
td {border: 1px solid #ccc;}br {mso-data-placement:same-cell;}
--></style>
<div class=""box-producteurs""></div>
<style type=""text/css"" data-mce-fragment=""1""><!--
td {border: 1px solid #ccc;}br {mso-data-placement:same-cell;}
--></style>
<style type=""text/css""><!--
td {border: 1px solid #ccc;}br {mso-data-placement:same-cell;}
--></style>",Ta Nou,,paniers,"abonnement, Nos paniers",true,Panier,1 panier (8~11 références),,,,,"",0.0,shopify,81,continue,manual,30.00,,false,false,"",https://cdn.shopify.com/s/files/1/0246/4035/6429/products/Paniebio-30euros.jpg?v=1643981520,1,,false,,,,,,,,,,,,,,,,,kg,,20.00,active
panier-bio,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0246/4035/6429/products/30rectangle.jpg?v=1643981520,2,,,,,,,,,,,,,,,,,,,,,,
panier-bio,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0246/4035/6429/products/BG-Panier-1-decouverte-bio-Martinique-Ecologie-agroecologie-agriculture-bio_71c0f439-b27d-44d1-84a1-6844d88dda17.jpg?v=1643981448,3,'- Le panier de la semaine Background,,,,,,,,,,,,,,,,,,,,,
papaye-verte-1kg-2,Papaye verte 1kg,"",Kétar Adèle,,fruit,"Bio, Catégorie_Fruits, Fruit",false,Poids,1kg,,,,,,0.0,shopify,86,deny,manual,3.10,,false,false,,https://cdn.shopify.com/s/files/1/0246/4035/6429/products/image_817a78b2-b0e5-45c0-9002-2a6ca82a5242.jpg?v=1642426833,1,,false,,,,,,,,,,,,,,,,,kg,,2.00,active
frais-de-livraison,Frais de livraison,"",Ta Nou,,interne,"",true,Quantité,Frais de livraison,,,,,"",1000.0,shopify,8482,continue,manual,7.00,,true,false,"",https://cdn.shopify.com/s/files/1/0246/4035/6429/products/delivery-truck_810e910e-9bdb-48f1-b06d-f225b5888367.png?v=1642300996,1,,false,,,,,,,,,,,,,,,,,kg,,,active
curcuma-bio-250g-3,Curcuma bio 250g,"Originaire de l'Asie du Sud-est, il est très connu sous forme de poudre pour les plats en sauces ou encore en vinaigrette. Le curcuma frais s'emploi de la même façon qu'en poudre, à savoir qu'un centimètre parfume un plat pour six personnes.",Alexandre Terne,,épice,"Bio, Catégorie_Épices, Epice, Prêcheur, Racine",false,Poids,250g,,,,,"",0.0,shopify,959,deny,manual,3.80,,false,false,"",https://cdn.shopify.com/s/files/1/0246/4035/6429/products/Curcuma-bio-Martinique-Precheur-Ecologie_4b276e5c-fac4-45d0-8f09-b2170b39a801.jpg?v=1642081723,1,,false,,,,,,,,,,,,,,,,,kg,,2.50,active
curcuma-bio-250g-3,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0246/4035/6429/products/curcuma-background-livraison-panier-sur-mesure-fruits-legumes-plantes-medicinales-aromatiques-martinique_7514db5e-2688-403b-afd4-fd878b5ed52e.jpg?v=1642081723,2,Curcuma bio Background,,,,,,,,,,,,,,,,,,,,,
dachine-bio-1kg-1,Dachine bio 1kg,"",Kétar Adèle,,légume,"",false,Title,Default Title,,,,,"",0.0,shopify,28,deny,manual,5.90,,false,false,"",https://cdn.shopify.com/s/files/1/0246/4035/6429/products/chou-de-chine.jpg?v=1641861783,1,,false,,,,,,,,,,,,,,,,,kg,,4.00,active
dachine-bio-1kg-1,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0246/4035/6429/products/5d95db057fc1f_dachine-585033_3f8087db-fedf-4e3f-90ad-a5d5d38696e0.jpg?v=1641861758,2,,,,,,,,,,,,,,,,,,,,,,
plant-dail-peyi-bio,Plant d'ail péyi bio,"",Kalinabio,,Plante,Bio,false,Poids,1 pot de 25cl,,,,,"",0.0,shopify,0,deny,manual,2.50,,false,false,"",,,,false,,,,,,,,,,,,,,,,,kg,,1.50,draft
